ticker,cnpj_emissor,tipo,obervacao
ALAR14,23438929000100,Debênture,
CONX12,23438929000100,Debênture,
CASN34,82508433000117,Debênture,
CASN24,82508433000117,Debênture,
ERDVC4,08873873000110,Debênture,
ENAT33,11669021000110,Debênture,
IGSS11,08159965000133,Debênture,
IGSS21,08159965000133,Debênture,
IVIAA0,03207703000183,Debênture,
AEGE17,08827501000158,Debênture,
AEGPB5,08827501000158,Debênture,
RSAN26,92802784000190,Debênture,
BTEL13,02041460000193,Debênture,Fechada
BTEL33,02041460000193,Debênture,Fechada
CLTM14,42288184000187,Debênture,Fechada
COMR15,25369840000157,Debênture,Fechada
HGLB13,27902165000105,Debênture,Fechada
HGLB23,27902165000105,Debênture,Fechada
HVSP11,32431519000110,Debênture,Fechada
IRJS15,42353180000135,Debênture,Fechada
ISPE12,58070452000120,Debênture,Fechada
ORIG12,32021201000161,Debênture,Fechada
QMCT14,13733490000187,Debênture,Fechada
RALM11,51715706000170,Debênture,Fechada
RGRA11,41315638000107,Debênture,Fechada
RIS422,42644220000106,Debênture,Fechada
RISP22,42310775000103,Debênture,Fechada
RMSA12,39580673000101,Debênture,Fechada
SABP12,42292007000174,Debênture,Fechada
SGAB11,15186494000118,Debênture,Fechada
SVEA16,40263170000183,Debênture,Fechada
UNEG11,23449511000190,Debênture,Fechada
CJEN13,01115535000170,Debênture,Fechada
BRKP28,24396489000120,Debênture,Fechada
SCPT13,43277147000136,Debênture,Fechada
CCIA23,44373108000103,Debênture,Fechada
